X,Y,R,G,B
38,7,255,255,255
39,7,255,255,255
0,8,255,255,255
1,8,194,194,194
2,8,255,255,255
3,8,255,255,255
4,8,255,255,255
5,8,255,255,255
6,8,255,255,255
7,8,254,254,254
8,8,255,255,255
9,8,253,253,253
10,8,255,255,255
11,8,255,255,255
12,8,255,255,255
13,8,252,252,252
14,8,255,255,255
15,8,252,252,252
16,8,255,255,255
17,8,255,255,255
18,8,252,252,252
19,8,255,255,255
20,8,254,254,254
21,8,255,255,255
22,8,255,255,255
23,8,254,254,254
24,8,255,255,255
25,8,255,255,255
26,8,254,254,254
27,8,196,196,196
28,8,255,255,255
29,8,253,253,253
30,8,253,253,253
31,8,255,255,255
32,8,255,255,255
33,8,253,253,253
34,8,254,254,254
35,8,255,255,255
36,8,255,255,255
37,8,254,254,254
38,8,253,253,253
39,8,255,255,255
0,9,255,255,255
1,9,251,251,251
2,9,195,195,195
3,9,255,255,255
4,9,253,253,253
5,9,255,255,255
6,9,247,247,247
7,9,255,255,255
8,9,254,254,254
9,9,255,255,255
10,9,251,251,251
11,9,255,255,255
12,9,253,253,253
13,9,255,255,255
14,9,255,255,255
15,9,255,255,255
16,9,250,250,250
17,9,255,255,255
18,9,254,254,254
19,9,255,255,255
20,9,255,255,255
21,9,252,252,252
22,9,255,255,255
23,9,253,253,253
24,9,254,254,254
25,9,255,255,255
26,9,253,253,253
27,9,255,255,255
28,9,195,195,195
29,9,254,254,254
30,9,255,255,255
31,9,251,251,251
32,9,253,253,253
33,9,255,255,255
34,9,254,254,254
35,9,253,253,253
36,9,255,255,255
37,9,255,255,255
38,9,254,254,254
39,9,255,255,255
0,10,253,253,253
1,10,255,255,255
2,10,255,255,255
3,10,190,190,190
4,10,255,255,255
5,10,253,253,253
6,10,255,255,255
7,10,255,255,255
8,10,255,255,255
9,10,253,253,253
10,10,255,255,255
11,10,255,255,255
12,10,255,255,255
13,10,255,255,255
14,10,252,252,252
15,10,253,253,253
16,10,255,255,255
17,10,255,255,255
18,10,254,254,254
19,10,252,252,252
20,10,253,253,253
21,10,255,255,255
22,10,249,249,249
23,10,255,255,255
24,10,255,255,255
25,10,253,253,253
26,10,255,255,255
27,10,254,254,254
28,10,255,255,255
29,10,191,191,191
30,10,253,253,253
31,10,255,255,255
32,10,255,255,255
33,10,255,255,255
34,10,252,252,252
35,10,255,255,255
36,10,255,255,255
37,10,253,253,253
38,10,255,255,255
39,10,253,253,253
0,11,255,255,255
1,11,255,255,255
2,11,252,252,252
3,11,255,255,255
4,11,196,196,196
5,11,255,255,255
6,11,249,249,249
7,11,254,254,254
8,11,253,253,253
9,11,255,255,255
10,11,253,253,253
11,11,254,254,254
12,11,255,255,255
13,11,250,250,250
14,11,253,253,253
15,11,255,255,255
16,11,254,254,254
17,11,250,250,250
18,11,255,255,255
19,11,255,255,255
20,11,255,255,255
21,11,253,253,253
22,11,255,255,255
23,11,252,252,252
24,11,253,253,253
25,11,254,254,254
26,11,252,252,252
27,11,255,255,255
28,11,252,252,252
29,11,255,255,255
30,11,193,193,193
31,11,255,255,255
32,11,254,254,254
33,11,252,252,252
34,11,254,254,254
35,11,255,255,255
36,11,254,254,254
37,11,255,255,255
38,11,250,250,250
39,11,255,255,255
0,12,255,255,255
1,12,255,255,255
2,12,254,254,254
3,12,255,255,255
4,12,254,254,254
5,12,193,193,193
6,12,255,255,255
7,12,255,255,255
8,12,255,255,255
9,12,251,251,251
10,12,255,255,255
11,12,255,255,255
12,12,252,252,252
13,12,255,255,255
14,12,255,255,255
15,12,252,252,252
16,12,255,255,255
17,12,255,255,255
18,12,252,252,252
19,12,255,255,255
20,12,255,255,255
21,12,255,255,255
22,12,254,254,254
23,12,255,255,255
24,12,255,255,255
25,12,255,255,255
26,12,253,253,253
27,12,252,252,252
28,12,254,254,254
29,12,253,253,253
30,12,255,255,255
31,12,193,193,193
32,12,255,255,255
33,12,255,255,255
34,12,255,255,255
35,12,250,250,250
36,12,255,255,255
37,12,255,255,255
38,12,254,254,254
39,12,255,255,255
0,13,255,255,255
1,13,254,254,254
2,13,255,255,255
3,13,255,255,255
4,13,253,253,253
5,13,255,255,255
6,13,194,194,194
7,13,255,255,255
8,13,254,254,254
9,13,252,252,252
10,13,255,255,255
11,13,252,252,252
12,13,253,253,253
13,13,255,255,255
14,13,252,252,252
15,13,1,1,1
16,13,254,254,254
17,13,255,255,255
18,13,252,252,252
19,13,255,255,255
20,13,0,0,0
21,13,0,0,0
22,13,0,0,0
23,13,255,255,255
24,13,252,252,252
25,13,255,255,255
26,13,255,255,255
27,13,255,255,255
28,13,5,5,5
29,13,0,0,0
30,13,0,0,0
31,13,245,245,245
32,13,193,193,193
33,13,251,251,251
34,13,253,253,253
35,13,255,255,255
36,13,251,251,251
37,13,254,254,254
38,13,255,255,255
39,13,252,252,252
0,14,252,252,252
1,14,255,255,255
2,14,255,255,255
3,14,255,255,255
4,14,255,255,255
5,14,255,255,255
6,14,253,253,253
7,14,194,194,194
8,14,255,255,255
9,14,255,255,255
10,14,251,251,251
11,14,254,254,254
12,14,255,255,255
13,14,254,254,254
14,14,0,0,0
15,14,1,1,1
16,14,254,254,254
17,14,254,254,254
18,14,255,255,255
19,14,1,1,1
20,14,254,254,254
21,14,255,255,255
22,14,251,251,251
23,14,3,3,3
24,14,255,255,255
25,14,252,252,252
26,14,255,255,255
27,14,1,1,1
28,14,249,249,249
29,14,255,255,255
30,14,254,254,254
31,14,254,254,254
32,14,255,255,255
33,14,197,197,197
34,14,252,252,252
35,14,255,255,255
36,14,252,252,252
37,14,255,255,255
38,14,254,254,254
39,14,254,254,254
0,15,255,255,255
1,15,251,251,251
2,15,255,255,255
3,15,254,254,254
4,15,255,255,255
5,15,253,253,253
6,15,255,255,255
7,15,255,255,255
8,15,192,192,192
9,15,255,255,255
10,15,255,255,255
11,15,255,255,255
12,15,252,252,252
13,15,2,2,2
14,15,255,255,255
15,15,0,0,0
16,15,255,255,255
17,15,253,253,253
18,15,255,255,255
19,15,254,254,254
20,15,253,253,253
21,15,255,255,255
22,15,255,255,255
23,15,0,0,0
24,15,254,254,254
25,15,255,255,255
26,15,0,0,0
27,15,255,255,255
28,15,254,254,254
29,15,255,255,255
30,15,255,255,255
31,15,255,255,255
32,15,249,249,249
33,15,255,255,255
34,15,195,195,195
35,15,255,255,255
36,15,255,255,255
37,15,251,251,251
38,15,255,255,255
39,15,255,255,255
0,16,255,255,255
1,16,255,255,255
2,16,255,255,255
3,16,255,255,255
4,16,255,255,255
5,16,255,255,255
6,16,255,255,255
7,16,255,255,255
8,16,254,254,254
9,16,197,197,197
10,16,252,252,252
11,16,255,255,255
12,16,0,0,0
13,16,253,253,253
14,16,255,255,255
15,16,0,0,0
16,16,253,253,253
17,16,255,255,255
18,16,255,255,255
