X,Y,R,G,B
38,7,0,0,0
39,7,1,1,1
0,8,255,255,255
1,8,254,254,254
2,8,253,253,253
3,8,255,255,255
4,8,255,255,255
5,8,255,255,255
6,8,252,252,252
7,8,255,255,255
8,8,255,255,255
9,8,249,249,249
10,8,255,255,255
11,8,255,255,255
12,8,255,255,255
13,8,255,255,255
14,8,4,4,4
15,8,254,254,254
16,8,255,255,255
17,8,252,252,252
18,8,254,254,254
19,8,255,255,255
20,8,252,252,252
21,8,253,253,253
22,8,254,254,254
23,8,5,5,5
24,8,252,252,252
25,8,255,255,255
26,8,0,0,0
27,8,255,255,255
28,8,255,255,255
29,8,254,254,254
30,8,0,0,0
31,8,255,255,255
32,8,254,254,254
33,8,255,255,255
34,8,250,250,250
35,8,254,254,254
36,8,255,255,255
37,8,255,255,255
38,8,3,3,3
39,8,0,0,0
0,9,249,249,249
1,9,255,255,255
2,9,255,255,255
3,9,254,254,254
4,9,255,255,255
5,9,254,254,254
6,9,255,255,255
7,9,255,255,255
8,9,255,255,255
9,9,254,254,254
10,9,255,255,255
11,9,253,253,253
12,9,255,255,255
13,9,255,255,255
14,9,0,0,0
15,9,255,255,255
16,9,250,250,250
17,9,255,255,255
18,9,253,253,253
19,9,253,253,253
20,9,255,255,255
21,9,255,255,255
22,9,254,254,254
23,9,0,0,0
24,9,255,255,255
25,9,255,255,255
26,9,1,1,1
27,9,195,195,195
28,9,254,254,254
29,9,249,249,249
30,9,1,1,1
31,9,255,255,255
32,9,252,252,252
33,9,252,252,252
34,9,254,254,254
35,9,255,255,255
36,9,255,255,255
37,9,254,254,254
38,9,0,0,0
39,9,2,2,2
0,10,254,254,254
1,10,253,253,253
2,10,251,251,251
3,10,254,254,254
4,10,250,250,250
5,10,255,255,255
6,10,253,253,253
7,10,254,254,254
8,10,253,253,253
9,10,255,255,255
10,10,254,254,254
11,10,255,255,255
12,10,0,0,0
13,10,0,0,0
14,10,2,2,2
15,10,2,2,2
16,10,5,5,5
17,10,251,251,251
18,10,255,255,255
19,10,0,0,0
20,10,1,1,1
21,10,0,0,0
22,10,0,0,0
23,10,255,255,255
24,10,255,255,255
25,10,252,252,252
26,10,253,253,253
27,10,3,3,3
28,10,2,2,2
29,10,2,2,2
30,10,255,255,255
31,10,250,250,250
32,10,255,255,255
33,10,253,253,253
34,10,254,254,254
35,10,255,255,255
36,10,255,255,255
37,10,255,255,255
38,10,0,0,0
39,10,0,0,0
0,11,253,253,253
1,11,255,255,255
2,11,255,255,255
3,11,254,254,254
4,11,255,255,255
5,11,255,255,255
6,11,255,255,255
7,11,255,255,255
8,11,253,253,253
9,11,255,255,255
10,11,251,251,251
11,11,255,255,255
12,11,255,255,255
13,11,251,251,251
14,11,252,252,252
15,11,255,255,255
16,11,251,251,251
17,11,253,253,253
18,11,253,253,253
19,11,255,255,255
20,11,253,253,253
21,11,255,255,255
22,11,255,255,255
23,11,253,253,253
24,11,255,255,255
25,11,255,255,255
26,11,255,255,255
27,11,255,255,255
28,11,254,254,254
29,11,194,194,194
30,11,251,251,251
31,11,255,255,255
32,11,253,253,253
33,11,255,255,255
34,11,255,255,255
35,11,254,254,254
36,11,251,251,251
37,11,255,255,255
38,11,253,253,253
39,11,255,255,255
0,12,255,255,255
1,12,250,250,250
2,12,255,255,255
3,12,255,255,255
4,12,252,252,252
5,12,254,254,254
6,12,255,255,255
7,12,255,255,255
8,12,255,255,255
9,12,254,254,254
10,12,255,255,255
11,12,251,251,251
12,12,254,254,254
13,12,255,255,255
14,12,255,255,255
15,12,254,254,254
16,12,255,255,255
17,12,253,253,253
18,12,255,255,255
19,12,255,255,255
20,12,255,255,255
21,12,254,254,254
22,12,255,255,255
23,12,254,254,254
24,12,252,252,252
25,12,254,254,254
26,12,255,255,255
27,12,252,252,252
28,12,255,255,255
29,12,255,255,255
30,12,195,195,195
31,12,254,254,254
32,12,253,253,253
33,12,255,255,255
34,12,252,252,252
35,12,255,255,255
36,12,255,255,255
37,12,255,255,255
38,12,255,255,255
39,12,255,255,255
0,13,192,192,192
1,13,255,255,255
2,13,254,254,254
3,13,255,255,255
4,13,252,252,252
5,13,254,254,254
6,13,255,255,255
7,13,255,255,255
8,13,255,255,255
9,13,252,252,252
10,13,255,255,255
11,13,255,255,255
12,13,251,251,251
13,13,251,251,251
14,13,254,254,254
15,13,255,255,255
16,13,255,255,255
17,13,255,255,255
18,13,253,253,253
19,13,251,251,251
20,13,255,255,255
21,13,255,255,255
22,13,251,251,251
23,13,255,255,255
24,13,254,254,254
25,13,255,255,255
26,13,252,252,252
27,13,255,255,255
28,13,255,255,255
29,13,254,254,254
30,13,255,255,255
31,13,194,194,194
32,13,255,255,255
33,13,255,255,255
34,13,255,255,255
35,13,253,253,253
36,13,255,255,255
37,13,255,255,255
38,13,251,251,251
39,13,255,255,255
0,14,255,255,255
1,14,197,197,197
2,14,254,254,254
3,14,252,252,252
4,14,255,255,255
5,14,252,252,252
6,14,253,253,253
7,14,255,255,255
8,14,253,253,253
9,14,255,255,255
10,14,255,255,255
11,14,252,252,252
12,14,255,255,255
13,14,255,255,255
14,14,255,255,255
15,14,254,254,254
16,14,254,254,254
17,14,255,255,255
18,14,253,253,253
19,14,255,255,255
20,14,255,255,255
21,14,253,253,253
22,14,255,255,255
23,14,252,252,252
24,14,255,255,255
25,14,253,253,253
26,14,255,255,255
27,14,255,255,255
28,14,255,255,255
29,14,253,253,253
30,14,255,255,255
31,14,255,255,255
32,14,197,197,197
33,14,250,250,250
34,14,255,255,255
35,14,255,255,255
36,14,254,254,254
37,14,255,255,255
38,14,255,255,255
39,14,255,255,255
0,15,255,255,255
1,15,253,253,253
2,15,192,192,192
3,15,255,255,255
4,15,252,252,252
5,15,255,255,255
6,15,251,251,251
7,15,255,255,255
8,15,254,254,254
